disciplina,unidade,pergunta_unidade,capitulo,habilidade,micro_hab_1,operacao_secao_1,micro_hab_2,operacao_secao_2,micro_hab_3,operacao_secao_3,micro_hab_4,operacao_secao_4,micro_hab_5,operacao_secao_5,micro_hab_6,operacao_secao_6,autores,conteudos_nucleares,elementos_obrigatorios
História,Unidade 1 — Justiça Estado e Poder no Brasil Imperial,De que maneira as instituições de justiça participaram da organização política e social do Brasil entre a Independência e a Proclamação da República?,Capítulo 1 — Formação do Estado Imperial e Organização da Justiça,H12 — Analisar o papel da justiça como instituição na organização das sociedades.,Definir Estado imperial como forma de organização política centralizada e suas bases jurídico-institucionais,Definir,Classificar as instituições políticas e jurídicas do Império segundo suas funções na organização do poder,Classificar,Comparar arranjos institucionais de centralização e descentralização do poder no Brasil Imperial,Comparar,Mapear relações causais entre a organização jurídico-política do Império e a manutenção da ordem social,Mapear causalidade,,,,,"José Murilo de Carvalho; Boris Fausto; Emília Viotti da Costa; Ilmar Rohloff de Mattos; Lilia Moritz Schwarcz","Formação do Estado nacional; Constituição de 1824 e Poder Moderador; Centralização política e organização jurídica do Império; Cidadania voto censitário e exclusão política; Revoltas regenciais e manutenção da ordem imperial",
História,Unidade 1 — Justiça Estado e Poder no Brasil Imperial,De que maneira as instituições de justiça participaram da organização política e social do Brasil entre a Independência e a Proclamação da República?,Capítulo 2 — Escravidão Direitos e Crise do Império,H12 — Analisar o papel da justiça como instituição na organização das sociedades.,Definir escravidão como instituição jurídica e suas implicações para a estrutura de direitos no Império,Definir,Classificar formas de resistência e mecanismos legais segundo seu papel na crise da ordem escravista,Classificar,Comparar estratégias de luta pela liberdade e projetos políticos no contexto da crise do Império,Comparar,Mapear relações causais entre a crise da escravidão as transformações jurídicas e o fim do regime imperial,Mapear causalidade,,,,,"Sidney Chalhoub; João José Reis; Angela Alonso; Florestan Fernandes; Décio Saes; Lilia Moritz Schwarcz","Justiça e sociedade escravista no século XIX; Leis abolicionistas e crise da escravidão; Resistência negra quilombos e movimento abolicionista; Relações entre elite Exército e poder político; Crise do Império",
